course_id1,course_name,course_duration_in_min,course_description,course_status,course_rbp,course_cne_available,course_cme_available
CRS_54bf06b181d5,Hygiene in der stationären Pflege - kurz wiederholt,15.0,"Der Kurs behandelt in unter 15 Minuten die wesentlichen Inhalte zum Thema und ist somit geeignet, um diese in kurzer Zeit wieder aufzufrischen.",RELEASED,null,false,false
CRS_49c95f99aae1,Medikamentenmanagement in Pflegeeinrichtungen,60.0,"In diesem Kurs lernen Sie, wie Sie mit Arzneimittel sicher umgehen und was Sie bei der Verabreichung von Medikamenten beachten müssen. ",ARCHIVED,1,false,false
CRS_a50aa6820721,Datenschutz für katholische Pflege- und Betreuungseinrichtungen - kurz wiederholt,15.0,Frischen Sie Ihr Wissen zum Datenschutz in katholischen Pflegeeinrichtungen auf und handeln Sie sicher im Umgang mit sensiblen Daten.,RELEASED,null,false,false
CRS_e16ac1f0ed80,Tracheostoma - pflegerische Versorgung,45.0,In diesem Kurs erhalten Sie einen Überblick über die pflegerische Versorgung eines Tracheostomas. ,ARCHIVED,1,false,false
CRS_83857d7c0117,Hygiene - Kurs Basiswissen für pflegerisches und medizinisches Personal (ohne Audio),75.0,"Sie erfahren, wie sich Infektionen ausbreiten und wie Sie eine Ausbreitung verhindern können.",FILEMISSING,null,false,false
CRS_114175bdf181,Podcast - Von der Theorie in die Praxis,30.0,Dieser Podcast zum Thema Wissenstransfer in die Praxis eignet sich für alle Mitarbeitenden aus der Pflege.    ,RELEASED,null,false,false
CRS_a68083c0d631,Pro on the Go - Blutabnahme mit einer Butterfly-Kanüle,15.0,"Dieser Kurs vermittelt Ihnen, wie Sie die Blutabnahme mit einer Butterfly-Kanüle vorbereiten, durchführen und nachbereiten. ",RELEASED,null,false,false
CRS_e8d9c108fe25,Bundesteilhabegesetz in der Eingliederungshilfe (BTHG),30.0,Dieser Kurs vermittelt Wissen über die Grundzüge und Ziele des Bundesteilhabegesetzes (BTHG).,RELEASED,1,false,false
CRS_289de51ecf5b,Teilwaschung - Intimpflege,30.0,"Sie erhalten Grundlagenwissen zur Intimhygiene, Hautpflege im Intimbereich und über den Ablauf der Intimpflege im Bett. ",RELEASED,1,false,false
CRS_be163da9f859,Brandschutz in der ambulanten Pflege - kurz wiederholt,15.0,Dieser Kurs vermittelt kurz und knapp den Brandschutz in ambulanten Pflegeeinrichtungen.,RELEASED,null,false,false
CRS_cbc4f1d49fcd,Pro on the Go - Pflegewissen zu Schlaganfall,15.0,"In diesem Kurs erfahren Sie, wie es zu einem Schlaganfall kommt, wie Sie im akuten Notfall richtig handeln und welche Hinweise Sie Betroffenen geben können. ",RELEASED,null,true,false
CRS_1c022af4577a,Expertenstandard chronische Wunden in der ambulanten Pflege,45.0,Dieser Kurs ist für ambulante Pflegeeinrichtungen geeignet und richtet sich an Pflegende mit Qualifikationen unterschiedlicher Art.,ARCHIVED,1,true,false
CRS_fcef43afa9fa,Arbeitsschutz: Gesetzliche Grundlagen,15.0,In dieser Lerneinheit erhalten Sie grundlegendes Wissen zum Arbeitsschutzsystem in Deutschland.,ARCHIVED,null,false,false
CRS_49d3f89607a6,Expertenstandard - Kurs Beziehungsgestaltung bei Demenz für ambulante Pflegeeinrichtungen,60.0,Dieser Kurs wird Ihnen die fünf Handlungsebenen des Expertenstandards in der ambulanten Pflege erklären.,RELEASED,1,false,false
CRS_c0d67ad47316,Expertenstandard - Kurs Erhaltung und Förderung der Mobilität Auffrischung Pflegeeinrichtungen,45.0,"Dieser Kurs vermittelt Ihnen einen Einblick, wie die Mobilität von pflegebedürftigen Menschen erhalten und gefördert werden kann.",RELEASED,1,false,false
CRS_883067d909cf,Brandschutz in der ambulanten Pflege,45.0,"In diesem Kurs lernen Sie, wie Sie einen Brand bekämpfen, um im Fall eines Feuers richtig zu handeln sowie Verletzungen und Schäden zu vermeiden.",ARCHIVED,1,false,false
CRS_750e72fe5fc2,Chronische Erkrankungen: Herzinsuffizienz - Grundlagen,60.0,"Die Funktionsweise des gesunden Herzens, Ursachen und Symptome der Herzinsuffizienz und Therapiekonzepte werden in diesem Kurs thematisiert.",RELEASED,1,true,true
CRS_17ed9f9f7d65,Tracheostoma - Cuff-Druck messen in 90 Sekunden erklärt,0.0,Dieser Kurs im Kurzformat beinhaltet ausschließlich ein kurzes Video.,RELEASED,null,false,false
CRS_4d9b0a7e3d36,Richtig handeln bei Hitze in Pflegeeinrichtungen,60.0,"Der Kurs vermittelt, wie sich Pflegende in Pflegeeinrichtungen richtig verhalten, um Menschen mit Pflegebedarf bei der Hitzebewältigung zu unterstützen.",RELEASED,1,true,false
CRS_a02c9ac0609e,Brandschutz (Leichte Sprache),45.0,"In diesem Kurs lernen Sie in verständlicher Sprache, wie Brandschutz funktioniert.",RELEASED,1,false,false
CRS_0d310d5af8ea,Pro on the Go - Pflegewissen zu Asthma,15.0,"Ziel des Kurses ist es, zu vermitteln, was bei Versorgung von Menschen mit Asthma beachten werden muss und wie bei einem Asthma-Anfall reagiert werden sollte.",RELEASED,null,true,false
CRS_1cd8613ea585,Chronische Erkrankungen: COPD - Grundlagen,60.0,In diesem Kurs erhalten Sie einen Überblick über chronisch obstruktive Lungenerkrankungen (COPD).,RELEASED,1,true,true
CRS_bd3620f33d0a,Datenschutz für administratives Personal: Teil 1 - Grundlagen,30.0,"Datenschutz im Klinikalltag: Lernen Sie, wie Sie sensible Daten in Verwaltung, Abrechnung und Personalwesen korrekt schützen und verarbeiten.",RELEASED,null,false,false
